ukmcs_variable_name,ukmcs_variable_label,mcs_variables_value_labels,combined_labels
AHPRELA0,Relationship to Person 1,-9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not Applicable; 1.0 = Husband/Wife; 2.0 = Partner/Cohabitee; 3.0 = Natural son/daughter; 4.0 = Adopted son/daughter; 5.0 = Foster son/daughter; 6.0 = Step-son/ step-daughter; 7.0 = Natural parent; 8.0 = Adoptive parent; 9.0 = Foster parent; 10.0 = Step-parent/partner of parent; 11.0 = Natural brother/Natural sister; 12.0 = Half-brother/Half-sister; 13.0 = Step-brother/Step-sister; 14.0 = Adopted brother/Adopted sister; 15.0 = Foster brother/Foster sister; 16.0 = Grandchild; 17.0 = Grandparent; 18.0 = Nanny/au pair; 19.0 = Other relative; 20.0 = Other non-relative,Relationship to Person 1: -9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not Applicable; 1.0 = Husband/Wife; 2.0 = Partner/Cohabitee; 3.0 = Natural son/daughter; 4.0 = Adopted son/daughter; 5.0 = Foster son/daughter; 6.0 = Step-son/ step-daughter; 7.0 = Natural parent; 8.0 = Adoptive parent; 9.0 = Foster parent; 10.0 = Step-parent/partner of parent; 11.0 = Natural brother/Natural sister; 12.0 = Half-brother/Half-sister; 13.0 = Step-brother/Step-sister; 14.0 = Adopted brother/Adopted sister; 15.0 = Foster brother/Foster sister; 16.0 = Grandchild; 17.0 = Grandparent; 18.0 = Nanny/au pair; 19.0 = Other relative; 20.0 = Other non-relative
AHPRELB0,Relationship to Person 2,-9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not Applicable; 1.0 = Husband/Wife; 2.0 = Partner/Cohabitee; 3.0 = Natural son/daughter; 4.0 = Adopted son/daughter; 5.0 = Foster son/daughter; 6.0 = Step-son/ step-daughter; 7.0 = Natural parent; 8.0 = Adoptive parent; 9.0 = Foster parent; 10.0 = Step-parent/partner of parent; 11.0 = Natural brother/Natural sister; 12.0 = Half-brother/Half-sister; 13.0 = Step-brother/Step-sister; 14.0 = Adopted brother/Adopted sister; 15.0 = Foster brother/Foster sister; 16.0 = Grandchild; 17.0 = Grandparent; 18.0 = Nanny/au pair; 19.0 = Other relative; 20.0 = Other non-relative,Relationship to Person 2: -9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not Applicable; 1.0 = Husband/Wife; 2.0 = Partner/Cohabitee; 3.0 = Natural son/daughter; 4.0 = Adopted son/daughter; 5.0 = Foster son/daughter; 6.0 = Step-son/ step-daughter; 7.0 = Natural parent; 8.0 = Adoptive parent; 9.0 = Foster parent; 10.0 = Step-parent/partner of parent; 11.0 = Natural brother/Natural sister; 12.0 = Half-brother/Half-sister; 13.0 = Step-brother/Step-sister; 14.0 = Adopted brother/Adopted sister; 15.0 = Foster brother/Foster sister; 16.0 = Grandchild; 17.0 = Grandparent; 18.0 = Nanny/au pair; 19.0 = Other relative; 20.0 = Other non-relative
AHPRELC0,Relationship to Person 3,-9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not Applicable; 1.0 = Husband/Wife; 2.0 = Partner/Cohabitee; 3.0 = Natural son/daughter; 4.0 = Adopted son/daughter; 5.0 = Foster son/daughter; 6.0 = Step-son/ step-daughter; 7.0 = Natural parent; 8.0 = Adoptive parent; 9.0 = Foster parent; 10.0 = Step-parent/partner of parent; 11.0 = Natural brother/Natural sister; 12.0 = Half-brother/Half-sister; 13.0 = Step-brother/Step-sister; 14.0 = Adopted brother/Adopted sister; 15.0 = Foster brother/Foster sister; 16.0 = Grandchild; 17.0 = Grandparent; 18.0 = Nanny/au pair; 19.0 = Other relative; 20.0 = Other non-relative,Relationship to Person 3: -9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not Applicable; 1.0 = Husband/Wife; 2.0 = Partner/Cohabitee; 3.0 = Natural son/daughter; 4.0 = Adopted son/daughter; 5.0 = Foster son/daughter; 6.0 = Step-son/ step-daughter; 7.0 = Natural parent; 8.0 = Adoptive parent; 9.0 = Foster parent; 10.0 = Step-parent/partner of parent; 11.0 = Natural brother/Natural sister; 12.0 = Half-brother/Half-sister; 13.0 = Step-brother/Step-sister; 14.0 = Adopted brother/Adopted sister; 15.0 = Foster brother/Foster sister; 16.0 = Grandchild; 17.0 = Grandparent; 18.0 = Nanny/au pair; 19.0 = Other relative; 20.0 = Other non-relative
AHPRELD0,Relationship to Person 4,-9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not Applicable; 1.0 = Husband/Wife; 2.0 = Partner/Cohabitee; 3.0 = Natural son/daughter; 4.0 = Adopted son/daughter; 5.0 = Foster son/daughter; 6.0 = Step-son/ step-daughter; 7.0 = Natural parent; 8.0 = Adoptive parent; 9.0 = Foster parent; 10.0 = Step-parent/partner of parent; 11.0 = Natural brother/Natural sister; 12.0 = Half-brother/Half-sister; 13.0 = Step-brother/Step-sister; 14.0 = Adopted brother/Adopted sister; 15.0 = Foster brother/Foster sister; 16.0 = Grandchild; 17.0 = Grandparent; 18.0 = Nanny/au pair; 19.0 = Other relative; 20.0 = Other non-relative,Relationship to Person 4: -9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not Applicable; 1.0 = Husband/Wife; 2.0 = Partner/Cohabitee; 3.0 = Natural son/daughter; 4.0 = Adopted son/daughter; 5.0 = Foster son/daughter; 6.0 = Step-son/ step-daughter; 7.0 = Natural parent; 8.0 = Adoptive parent; 9.0 = Foster parent; 10.0 = Step-parent/partner of parent; 11.0 = Natural brother/Natural sister; 12.0 = Half-brother/Half-sister; 13.0 = Step-brother/Step-sister; 14.0 = Adopted brother/Adopted sister; 15.0 = Foster brother/Foster sister; 16.0 = Grandchild; 17.0 = Grandparent; 18.0 = Nanny/au pair; 19.0 = Other relative; 20.0 = Other non-relative
AHPRELE0,Relationship to Person 5,-9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not Applicable; 1.0 = Husband/Wife; 2.0 = Partner/Cohabitee; 3.0 = Natural son/daughter; 4.0 = Adopted son/daughter; 5.0 = Foster son/daughter; 6.0 = Step-son/ step-daughter; 7.0 = Natural parent; 8.0 = Adoptive parent; 9.0 = Foster parent; 10.0 = Step-parent/partner of parent; 11.0 = Natural brother/Natural sister; 12.0 = Half-brother/Half-sister; 13.0 = Step-brother/Step-sister; 14.0 = Adopted brother/Adopted sister; 15.0 = Foster brother/Foster sister; 16.0 = Grandchild; 17.0 = Grandparent; 18.0 = Nanny/au pair; 19.0 = Other relative; 20.0 = Other non-relative,Relationship to Person 5: -9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not Applicable; 1.0 = Husband/Wife; 2.0 = Partner/Cohabitee; 3.0 = Natural son/daughter; 4.0 = Adopted son/daughter; 5.0 = Foster son/daughter; 6.0 = Step-son/ step-daughter; 7.0 = Natural parent; 8.0 = Adoptive parent; 9.0 = Foster parent; 10.0 = Step-parent/partner of parent; 11.0 = Natural brother/Natural sister; 12.0 = Half-brother/Half-sister; 13.0 = Step-brother/Step-sister; 14.0 = Adopted brother/Adopted sister; 15.0 = Foster brother/Foster sister; 16.0 = Grandchild; 17.0 = Grandparent; 18.0 = Nanny/au pair; 19.0 = Other relative; 20.0 = Other non-relative
AHPRELF0,Relationship to Person 6,-9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not Applicable; 1.0 = Husband/Wife; 2.0 = Partner/Cohabitee; 3.0 = Natural son/daughter; 4.0 = Adopted son/daughter; 5.0 = Foster son/daughter; 6.0 = Step-son/ step-daughter; 7.0 = Natural parent; 8.0 = Adoptive parent; 9.0 = Foster parent; 10.0 = Step-parent/partner of parent; 11.0 = Natural brother/Natural sister; 12.0 = Half-brother/Half-sister; 13.0 = Step-brother/Step-sister; 14.0 = Adopted brother/Adopted sister; 15.0 = Foster brother/Foster sister; 16.0 = Grandchild; 17.0 = Grandparent; 18.0 = Nanny/au pair; 19.0 = Other relative; 20.0 = Other non-relative,Relationship to Person 6: -9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not Applicable; 1.0 = Husband/Wife; 2.0 = Partner/Cohabitee; 3.0 = Natural son/daughter; 4.0 = Adopted son/daughter; 5.0 = Foster son/daughter; 6.0 = Step-son/ step-daughter; 7.0 = Natural parent; 8.0 = Adoptive parent; 9.0 = Foster parent; 10.0 = Step-parent/partner of parent; 11.0 = Natural brother/Natural sister; 12.0 = Half-brother/Half-sister; 13.0 = Step-brother/Step-sister; 14.0 = Adopted brother/Adopted sister; 15.0 = Foster brother/Foster sister; 16.0 = Grandchild; 17.0 = Grandparent; 18.0 = Nanny/au pair; 19.0 = Other relative; 20.0 = Other non-relative
AHPRELG0,Relationship to Person 7,-9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not Applicable; 1.0 = Husband/Wife; 2.0 = Partner/Cohabitee; 3.0 = Natural son/daughter; 4.0 = Adopted son/daughter; 5.0 = Foster son/daughter; 6.0 = Step-son/ step-daughter; 7.0 = Natural parent; 8.0 = Adoptive parent; 9.0 = Foster parent; 10.0 = Step-parent/partner of parent; 11.0 = Natural brother/Natural sister; 12.0 = Half-brother/Half-sister; 13.0 = Step-brother/Step-sister; 14.0 = Adopted brother/Adopted sister; 15.0 = Foster brother/Foster sister; 16.0 = Grandchild; 17.0 = Grandparent; 18.0 = Nanny/au pair; 19.0 = Other relative; 20.0 = Other non-relative,Relationship to Person 7: -9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not Applicable; 1.0 = Husband/Wife; 2.0 = Partner/Cohabitee; 3.0 = Natural son/daughter; 4.0 = Adopted son/daughter; 5.0 = Foster son/daughter; 6.0 = Step-son/ step-daughter; 7.0 = Natural parent; 8.0 = Adoptive parent; 9.0 = Foster parent; 10.0 = Step-parent/partner of parent; 11.0 = Natural brother/Natural sister; 12.0 = Half-brother/Half-sister; 13.0 = Step-brother/Step-sister; 14.0 = Adopted brother/Adopted sister; 15.0 = Foster brother/Foster sister; 16.0 = Grandchild; 17.0 = Grandparent; 18.0 = Nanny/au pair; 19.0 = Other relative; 20.0 = Other non-relative
AHPRELH0,Relationship to Person 8,-9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not Applicable; 1.0 = Husband/Wife; 2.0 = Partner/Cohabitee; 3.0 = Natural son/daughter; 4.0 = Adopted son/daughter; 5.0 = Foster son/daughter; 6.0 = Step-son/ step-daughter; 7.0 = Natural parent; 8.0 = Adoptive parent; 9.0 = Foster parent; 10.0 = Step-parent/partner of parent; 11.0 = Natural brother/Natural sister; 12.0 = Half-brother/Half-sister; 13.0 = Step-brother/Step-sister; 14.0 = Adopted brother/Adopted sister; 15.0 = Foster brother/Foster sister; 16.0 = Grandchild; 17.0 = Grandparent; 18.0 = Nanny/au pair; 19.0 = Other relative; 20.0 = Other non-relative,Relationship to Person 8: -9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not Applicable; 1.0 = Husband/Wife; 2.0 = Partner/Cohabitee; 3.0 = Natural son/daughter; 4.0 = Adopted son/daughter; 5.0 = Foster son/daughter; 6.0 = Step-son/ step-daughter; 7.0 = Natural parent; 8.0 = Adoptive parent; 9.0 = Foster parent; 10.0 = Step-parent/partner of parent; 11.0 = Natural brother/Natural sister; 12.0 = Half-brother/Half-sister; 13.0 = Step-brother/Step-sister; 14.0 = Adopted brother/Adopted sister; 15.0 = Foster brother/Foster sister; 16.0 = Grandchild; 17.0 = Grandparent; 18.0 = Nanny/au pair; 19.0 = Other relative; 20.0 = Other non-relative
AHPRELI0,Relationship to Person 9,-9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not Applicable; 1.0 = Husband/Wife; 2.0 = Partner/Cohabitee; 3.0 = Natural son/daughter; 4.0 = Adopted son/daughter; 5.0 = Foster son/daughter; 6.0 = Step-son/ step-daughter; 7.0 = Natural parent; 8.0 = Adoptive parent; 9.0 = Foster parent; 10.0 = Step-parent/partner of parent; 11.0 = Natural brother/Natural sister; 12.0 = Half-brother/Half-sister; 13.0 = Step-brother/Step-sister; 14.0 = Adopted brother/Adopted sister; 15.0 = Foster brother/Foster sister; 16.0 = Grandchild; 17.0 = Grandparent; 18.0 = Nanny/au pair; 19.0 = Other relative; 20.0 = Other non-relative,Relationship to Person 9: -9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not Applicable; 1.0 = Husband/Wife; 2.0 = Partner/Cohabitee; 3.0 = Natural son/daughter; 4.0 = Adopted son/daughter; 5.0 = Foster son/daughter; 6.0 = Step-son/ step-daughter; 7.0 = Natural parent; 8.0 = Adoptive parent; 9.0 = Foster parent; 10.0 = Step-parent/partner of parent; 11.0 = Natural brother/Natural sister; 12.0 = Half-brother/Half-sister; 13.0 = Step-brother/Step-sister; 14.0 = Adopted brother/Adopted sister; 15.0 = Foster brother/Foster sister; 16.0 = Grandchild; 17.0 = Grandparent; 18.0 = Nanny/au pair; 19.0 = Other relative; 20.0 = Other non-relative
AHPRELJ0,Relationship to Person 10   ,-9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not Applicable; 1.0 = Husband/Wife; 2.0 = Partner/Cohabitee; 3.0 = Natural son/daughter; 4.0 = Adopted son/daughter; 5.0 = Foster son/daughter; 6.0 = Step-son/ step-daughter; 7.0 = Natural parent; 8.0 = Adoptive parent; 9.0 = Foster parent; 10.0 = Step-parent/partner of parent; 11.0 = Natural brother/Natural sister; 12.0 = Half-brother/Half-sister; 13.0 = Step-brother/Step-sister; 14.0 = Adopted brother/Adopted sister; 15.0 = Foster brother/Foster sister; 16.0 = Grandchild; 17.0 = Grandparent; 18.0 = Nanny/au pair; 19.0 = Other relative; 20.0 = Other non-relative,Relationship to Person 10   : -9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not Applicable; 1.0 = Husband/Wife; 2.0 = Partner/Cohabitee; 3.0 = Natural son/daughter; 4.0 = Adopted son/daughter; 5.0 = Foster son/daughter; 6.0 = Step-son/ step-daughter; 7.0 = Natural parent; 8.0 = Adoptive parent; 9.0 = Foster parent; 10.0 = Step-parent/partner of parent; 11.0 = Natural brother/Natural sister; 12.0 = Half-brother/Half-sister; 13.0 = Step-brother/Step-sister; 14.0 = Adopted brother/Adopted sister; 15.0 = Foster brother/Foster sister; 16.0 = Grandchild; 17.0 = Grandparent; 18.0 = Nanny/au pair; 19.0 = Other relative; 20.0 = Other non-relative
AHPRELK0,Relationship to Person 11   ,-9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not Applicable; 1.0 = Husband/Wife; 2.0 = Partner/Cohabitee; 3.0 = Natural son/daughter; 4.0 = Adopted son/daughter; 5.0 = Foster son/daughter; 6.0 = Step-son/ step-daughter; 7.0 = Natural parent; 8.0 = Adoptive parent; 9.0 = Foster parent; 10.0 = Step-parent/partner of parent; 11.0 = Natural brother/Natural sister; 12.0 = Half-brother/Half-sister; 13.0 = Step-brother/Step-sister; 14.0 = Adopted brother/Adopted sister; 15.0 = Foster brother/Foster sister; 16.0 = Grandchild; 17.0 = Grandparent; 18.0 = Nanny/au pair; 19.0 = Other relative; 20.0 = Other non-relative,Relationship to Person 11   : -9.0 = Refusal; -8.0 = Dont Know; -1.0 = Not Applicable; 1.0 = Husband/Wife; 2.0 = Partner/Cohabitee; 3.0 = Natural son/daughter; 4.0 = Adopted son/daughter; 5.0 = Foster son/daughter; 6.0 = Step-son/ step-daughter; 7.0 = Natural parent; 8.0 = Adoptive parent; 9.0 = Foster parent; 10.0 = Step-parent/partner of parent; 11.0 = Natural brother/Natural sister; 12.0 = Half-brother/Half-sister; 13.0 = Step-brother/Step-sister; 14.0 = Adopted brother/Adopted sister; 15.0 = Foster brother/Foster sister; 16.0 = Grandchild; 17.0 = Grandparent; 18.0 = Nanny/au pair; 19.0 = Other relative; 20.0 = Other non-relative
AHPJOB00,Is person currently in work or not  ,-9.0 = Missing value -9; -8.0 = Missing value -8; -2.0 = Unknown; -1.0 = Not applicable; 1.0 = Yes,Is person currently in work or not  : -9.0 = Missing value -9; -8.0 = Missing value -8; -2.0 = Unknown; -1.0 = Not applicable; 1.0 = Yes
AHPTPC00,Resident full-time of part-time ,-9.0 = Missing value -9; -8.0 = Dont Know; -1.0 = Not applicable; 1.0 = Resident Full Time,Resident full-time of part-time : -9.0 = Missing value -9; -8.0 = Dont Know; -1.0 = Not applicable; 1.0 = Resident Full Time
AHAWAY00,HHGrid:Whether away for whole fieldwork period (person 2)   ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes - away until baby is one year old,HHGrid:Whether away for whole fieldwork period (person 2)   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes - away until baby is one year old
AHINCA00,HHGrid:Whether incapacitated (person 2) ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes, can do interview him/herself; 2.0 = No, cannot understand/ answer questions; 3.0 = No, cannot understand/ answer questions","HHGrid:Whether incapacitated (person 2) : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes, can do interview him/herself; 2.0 = No, cannot understand/ answer questions; 3.0 = No, cannot understand/ answer questions"
APLOWC0F,Lonstanding illness (ICD10 code),,Lonstanding illness (ICD10 code): 
APWHLI00,Residence away from parents pre17   ,,Residence away from parents pre17   : 
APLINI00,Residence away from parents pre 17 NI   ,,Residence away from parents pre 17 NI   : 
APTIBO00,Time of birth   ,,Time of birth   : 
ACHTDT00,Date of hearing test,,Date of hearing test: 
ACHTDA00,Day of hearing test ,,Day of hearing test : 
ACLWTD00,Day of babys most recent weight ,,Day of babys most recent weight : 
APWRBM0A,Problems at birth or in first week MC1  ,,Problems at birth or in first week MC1  : 
APWRBM0B,Problems at birth or in first week MC2  ,,Problems at birth or in first week MC2  : 
APWRBM0C,Problems at birth or in first week MC3  ,,Problems at birth or in first week MC3  : 
APWRBM0D,Problems at birth or in first week MC4  ,,Problems at birth or in first week MC4  : 
APWRBM0E,Problems at birth or in first week MC5  ,,Problems at birth or in first week MC5  : 
APWRBM0F,Problems at birth or in first week MC6  ,,Problems at birth or in first week MC6  : 
APWRBM0G,Problems at birth or in first week MC7  ,,Problems at birth or in first week MC7  : 
ACHPWM0A,Type of health problem MC1  ,,Type of health problem MC1  : 
ACHPWM0B,Type of health problem MC2  ,,Type of health problem MC2  : 
ACHPWM0C,Type of health problem MC3  ,,Type of health problem MC3  : 
ACHPWM0D,Type of health problem MC4  ,,Type of health problem MC4  : 
ACHPWM0E,Type of health problem MC5  ,,Type of health problem MC5  : 
ACHPWM0F,Type of health problem MC6  ,,Type of health problem MC6  : 
ACHPWM0G,Type of health problem MC7  ,,Type of health problem MC7  : 
ACHPWM0H,Type of health problem MC8  ,,Type of health problem MC8  : 
ACWOHM0A,Worries about health & development MC1  ,,Worries about health & development MC1  : 
ACWOHM0B,Worries about health & development MC2  ,,Worries about health & development MC2  : 
ACWOHM0C,Worries about health & development MC3  ,,Worries about health & development MC3  : 
ACWOHM0D,Worries about health & development MC4  ,,Worries about health & development MC4  : 
ACNUM00,Cohort Member number within an MCS family   ,"1.0 = 1st Cohort Member of the family; 2.0 = 2nd Cohort Member of the family, 1.0 = 1st Cohort Member of the family; 2.0 = 2nd Cohort Member of the family, 1.0 = 1st Cohort Member of the family; 2.0 = 2nd Cohort Member of the family, 1.0 = 1st Cohort Member of the family; 2.0 = 2nd Cohort Member of the family","Cohort Member number within an MCS family   : 1.0 = 1st Cohort Member of the family; 2.0 = 2nd Cohort Member of the family, 1.0 = 1st Cohort Member of the family; 2.0 = 2nd Cohort Member of the family, 1.0 = 1st Cohort Member of the family; 2.0 = 2nd Cohort Member of the family, 1.0 = 1st Cohort Member of the family; 2.0 = 2nd Cohort Member of the family"
APAPBA00,Whether lived apart from baby   ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,Whether lived apart from baby   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes
APLOAP00,Duration of separation (unit)   ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Weeks,Duration of separation (unit)   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Weeks
