echo_variable_name,echo_variable_label,echo_variable_value_coded_labels,combined_labels
ifp_c07____8,"7. In the past 7 days, what type of formula was the child fed? [Check all that apply]: Don't know","Don't know: No, Don't know: Yes","7. In the past 7 days, what type of formula was the child fed? [Check all that apply]: Don't know: Don't know: No, Don't know: Yes"
ifp_c08___1,"8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 1. Amino acid-based (elemental) formulas","Group 1. Amino acid-based (elemental) formulas: No, Group 1. Amino acid-based (elemental) formulas: Yes","8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 1. Amino acid-based (elemental) formulas: Group 1. Amino acid-based (elemental) formulas: No, Group 1. Amino acid-based (elemental) formulas: Yes"
ifp_c08___2,"8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 2. Milk-based formulas without DHA/ARA","Group 2. Milk-based formulas without DHA/ARA: No, Group 2. Milk-based formulas without DHA/ARA: Yes","8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 2. Milk-based formulas without DHA/ARA: Group 2. Milk-based formulas without DHA/ARA: No, Group 2. Milk-based formulas without DHA/ARA: Yes"
ifp_c08___3,"8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 3. Milk-based formulas with DHA/ARA","Group 3. Milk-based formulas with DHA/ARA: No, Group 3. Milk-based formulas with DHA/ARA: Yes","8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 3. Milk-based formulas with DHA/ARA: Group 3. Milk-based formulas with DHA/ARA: No, Group 3. Milk-based formulas with DHA/ARA: Yes"
ifp_c08___4,"8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 4. Soy-based formulas with DHA/ARA","Group 4. Soy-based formulas with DHA/ARA: No, Group 4. Soy-based formulas with DHA/ARA: Yes","8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 4. Soy-based formulas with DHA/ARA: Group 4. Soy-based formulas with DHA/ARA: No, Group 4. Soy-based formulas with DHA/ARA: Yes"
ifp_c08___5,"8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 5. Soy-based formulas without DHA/ARA","Group 5. Soy-based formulas without DHA/ARA: No, Group 5. Soy-based formulas without DHA/ARA: Yes","8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 5. Soy-based formulas without DHA/ARA: Group 5. Soy-based formulas without DHA/ARA: No, Group 5. Soy-based formulas without DHA/ARA: Yes"
ifp_c08___6,"8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 6. Extensively-hydrolyzed formulas","Group 6. Extensively-hydrolyzed formulas: No, Group 6. Extensively-hydrolyzed formulas: Yes","8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 6. Extensively-hydrolyzed formulas: Group 6. Extensively-hydrolyzed formulas: No, Group 6. Extensively-hydrolyzed formulas: Yes"
ifp_c08___7,"8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 7. Partially-hydrolyzed formulas","Group 7. Partially-hydrolyzed formulas: No, Group 7. Partially-hydrolyzed formulas: Yes","8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 7. Partially-hydrolyzed formulas: Group 7. Partially-hydrolyzed formulas: No, Group 7. Partially-hydrolyzed formulas: Yes"
ifp_c08___8,"8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 8. Thickened / anti-reflux milk-based formulas","Group 8. Thickened / anti-reflux milk-based formulas: No, Group 8. Thickened / anti-reflux milk-based formulas: Yes","8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 8. Thickened / anti-reflux milk-based formulas: Group 8. Thickened / anti-reflux milk-based formulas: No, Group 8. Thickened / anti-reflux milk-based formulas: Yes"
ifp_c08___9,"8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 9. Premature infant formulas","Group 9. Premature infant formulas: No, Group 9. Premature infant formulas: Yes","8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Group 9. Premature infant formulas: Group 9. Premature infant formulas: No, Group 9. Premature infant formulas: Yes"
ifp_c08___10,"8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Other, specify","Other, specify: No, Other, specify: Yes","8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Other, specify: Other, specify: No, Other, specify: Yes"
ifp_c08____8,"8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Don't know","Don't know: No, Don't know: Yes","8. In the past 7 days, which formula was fed to the child? [Check all that apply] [Infant formulas are listed in alphabetical order below.]: Don't know: Don't know: No, Don't know: Yes"
xifp_c08_sp,"8. In the past 7 days, which formula was fed to the child?: Specify (de-identified)",,"8. In the past 7 days, which formula was fed to the child?: Specify (de-identified): "
ifp_d01,"1. In the past 2 weeks, has the child been given a bottle of formula or pumped (or expressed) breast milk?","Yes, No, Not applicable, Declined, Don't know, Missing","1. In the past 2 weeks, has the child been given a bottle of formula or pumped (or expressed) breast milk?: Yes, No, Not applicable, Declined, Don't know, Missing"
ifp_d01a1,1.a. How often have each of the following items been added to the child's bottle of formula or pumped breast milk?: 1. Vitamins or minerals,"Never, Rarely, Every few days, About once a day, At most feedings, Every feeding, Not applicable, Declined, Don't know, Missing","1.a. How often have each of the following items been added to the child's bottle of formula or pumped breast milk?: 1. Vitamins or minerals: Never, Rarely, Every few days, About once a day, At most feedings, Every feeding, Not applicable, Declined, Don't know, Missing"
ifp_d01a2,1.a. How often have each of the following items been added to the child's bottle of formula or pumped breast milk?: 2. Baby cereal,"Never, Rarely, Every few days, About once a day, At most feedings, Every feeding, Not applicable, Declined, Don't know, Missing","1.a. How often have each of the following items been added to the child's bottle of formula or pumped breast milk?: 2. Baby cereal: Never, Rarely, Every few days, About once a day, At most feedings, Every feeding, Not applicable, Declined, Don't know, Missing"
ifp_d01a3,1.a. How often have each of the following items been added to the child's bottle of formula or pumped breast milk?: 3. Sweetener,"Never, Rarely, Every few days, About once a day, At most feedings, Every feeding, Not applicable, Declined, Don't know, Missing","1.a. How often have each of the following items been added to the child's bottle of formula or pumped breast milk?: 3. Sweetener: Never, Rarely, Every few days, About once a day, At most feedings, Every feeding, Not applicable, Declined, Don't know, Missing"
