ECHO Variable,ECHO Variable Description,UKMCS Variable,UKMCS Variable Description,Similarity Score
4. Has the biological mother completely stopped breastfeeding and pumping milk for the child?,"4. Has the biological mother completely stopped breastfeeding and pumping milk for the child?: Yes, No, Not applicable, Declined, Don't know, Missing",Age when CM last had breast milk?   ,Age when CM last had breast milk?   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Never took breast milk; 2.0 = Less than one day; 3.0 = Answer given in days; 4.0 = Answer given in weeks; 5.0 = Answer given in months,0.849856888644357
4.a. Did the biological mother breastfeed the child as long as she wanted to?,"4.a. Did the biological mother breastfeed the child as long as she wanted to?: Yes, No, Not applicable, Declined, Don't know, Missing",Ever tried to breastfeed,Ever tried to breastfeed: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8542644384833218
4.b. How old was the child when the child's biological mother completely stopped breastfeeding and pumping milk?: Days (if younger than 2 weeks,4.b. How old was the child when the child's biological mother completely stopped breastfeeding and pumping milk?: Days (if younger than 2 weeks: ,Age when CM last had breast milk?   ,Age when CM last had breast milk?   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Never took breast milk; 2.0 = Less than one day; 3.0 = Answer given in days; 4.0 = Answer given in weeks; 5.0 = Answer given in months,0.8616507993213597
4.b. How old was the child when the child's biological mother completely stopped breastfeeding and pumping milk?: Weeks,4.b. How old was the child when the child's biological mother completely stopped breastfeeding and pumping milk?: Weeks: ,Age (in weeks) when CM last had breast milk?,Age (in weeks) when CM last had breast milk?: -9.0 = Refusal; -8.0 = Don't Know,0.8613744694947267
4.b. How old was the child when the child's biological mother completely stopped breastfeeding and pumping milk?: Months,4.b. How old was the child when the child's biological mother completely stopped breastfeeding and pumping milk?: Months: ,Age (in months) when CM last had breast milk?   ,Age (in months) when CM last had breast milk?   : -9.0 = Refusal; -8.0 = Don't Know,0.8593992274593902
4.b. How old was the child when the child's biological mother completely stopped breastfeeding and pumping milk?: Don't know,"4.b. How old was the child when the child's biological mother completely stopped breastfeeding and pumping milk?: Don't know: Don't know: No, Don't know: Yes",Age when CM last had breast milk?   ,Age when CM last had breast milk?   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Never took breast milk; 2.0 = Less than one day; 3.0 = Answer given in days; 4.0 = Answer given in weeks; 5.0 = Answer given in months,0.8567343901342429
5. Does the child usually feed from both breasts at each feeding?,"5. Does the child usually feed from both breasts at each feeding?: Yes, No, Baby is only fed pumped milk, Not applicable, Declined, Don't know, Missing",Milk feeds at about the same time   ,Milk feeds at about the same time   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.8484502556793293
6. Does the child usually let go of the breast him or herself?,"6. Does the child usually let go of the breast him or herself?: Yes, both breasts, Yes, first breast only, Yes, second breast only, No, Not applicable, Declined, Don't know, Missing",Ever tried to breastfeed,Ever tried to breastfeed: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.843868561687105
7. About how long does an average breastfeeding last?,"7. About how long does an average breastfeeding last?: Less than 10 minutes, 10-19 minutes, 20-29 minutes, 30-39 minutes, 40-49 minutes, 50 or more minutes, Not applicable, Declined, Don't know, Missing",Amount of time with baby,"Amount of time with baby: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = ... plenty of time with baby,; 2.0 = just enough,; 3.0 = not quite enough,; 4.0 = or, nowhere near enough?",0.8419435233123532
"8. In the past 7 days, was the child breastfed or fed the biological mother's breast milk from a bottle?","8. In the past 7 days, was the child breastfed or fed the biological mother's breast milk from a bottle?: Yes, No, Not applicable, Declined, Don't know, Missing",Age when CM last had breast milk?   ,Age when CM last had breast milk?   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Never took breast milk; 2.0 = Less than one day; 3.0 = Answer given in days; 4.0 = Answer given in weeks; 5.0 = Answer given in months,0.8699455594799492
"8. In the past 7 days, was the child breastfed or fed the biological mother's breast milk from a bottle? How often?: Feedings per day","8. In the past 7 days, was the child breastfed or fed the biological mother's breast milk from a bottle? How often?: Feedings per day: ",Age when CM last had breast milk?   ,Age when CM last had breast milk?   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Never took breast milk; 2.0 = Less than one day; 3.0 = Answer given in days; 4.0 = Answer given in weeks; 5.0 = Answer given in months,0.8492138505219567
"8. In the past 7 days, was the child breastfed or fed the biological mother's breast milk from a bottle? How often?: Feedings per week","8. In the past 7 days, was the child breastfed or fed the biological mother's breast milk from a bottle? How often?: Feedings per week: ",Age (in weeks) when CM last had breast milk?,Age (in weeks) when CM last had breast milk?: -9.0 = Refusal; -8.0 = Don't Know,0.8474928305881188
"8. In the past 7 days, was the child breastfed or fed the biological mother's breast milk from a bottle? How often?: Less than once per week: Less than once per week","8. In the past 7 days, was the child breastfed or fed the biological mother's breast milk from a bottle? How often?: Less than once per week: Less than once per week: Less than once per week: No, Less than once per week: Yes",Age when CM last had breast milk?   ,Age when CM last had breast milk?   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Never took breast milk; 2.0 = Less than one day; 3.0 = Answer given in days; 4.0 = Answer given in weeks; 5.0 = Answer given in months,0.8459014107578642
"9. In the past 7 days, was the child fed someone else's breast milk (e.g., milk from a milk bank)?","9. In the past 7 days, was the child fed someone else's breast milk (e.g., milk from a milk bank)?: Yes, No, Not applicable, Declined, Don't know, Missing",Age when CM last had breast milk?   ,Age when CM last had breast milk?   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Never took breast milk; 2.0 = Less than one day; 3.0 = Answer given in days; 4.0 = Answer given in weeks; 5.0 = Answer given in months,0.8724187353663588
"9. In the past 7 days, was the child fed someone else's breast milk? How often?: Feedings per day","9. In the past 7 days, was the child fed someone else's breast milk? How often?: Feedings per day: ",Age when CM last had breast milk?   ,Age when CM last had breast milk?   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Never took breast milk; 2.0 = Less than one day; 3.0 = Answer given in days; 4.0 = Answer given in weeks; 5.0 = Answer given in months,0.8530472557263821
"9. In the past 7 days, was the child fed someone else's breast milk? How often?: Feedings per week","9. In the past 7 days, was the child fed someone else's breast milk? How often?: Feedings per week: ",Age (in weeks) when CM last had breast milk?,Age (in weeks) when CM last had breast milk?: -9.0 = Refusal; -8.0 = Don't Know,0.8525444275191472
"9. In the past 7 days, was the child fed someone else's breast milk? How often?: Less than once per week: Less than once per week","9. In the past 7 days, was the child fed someone else's breast milk? How often?: Less than once per week: Less than once per week: Less than once per week: No, Less than once per week: Yes",Age when CM last had breast milk?   ,Age when CM last had breast milk?   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Never took breast milk; 2.0 = Less than one day; 3.0 = Answer given in days; 4.0 = Answer given in weeks; 5.0 = Answer given in months,0.851319248090863
"10. In an average 24-hour period, what is the LONGEST time between breast feedings or pumping milk? [Please count the time from the start of one breastfeeding or pumping session to the start of the next. ] (hours and minutes): Hours","10. In an average 24-hour period, what is the LONGEST time between breast feedings or pumping milk? [Please count the time from the start of one breastfeeding or pumping session to the start of the next. ] (hours and minutes): Hours: ",Age when CM last had breast milk?   ,Age when CM last had breast milk?   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Never took breast milk; 2.0 = Less than one day; 3.0 = Answer given in days; 4.0 = Answer given in weeks; 5.0 = Answer given in months,0.824785225153054
"10. In an average 24-hour period, what is the LONGEST time between breast feedings or pumping milk? [Please count the time from the start of one breastfeeding or pumping session to the start of the next.] (hours and minutes): Minutes","10. In an average 24-hour period, what is the LONGEST time between breast feedings or pumping milk? [Please count the time from the start of one breastfeeding or pumping session to the start of the next.] (hours and minutes): Minutes: ",Age when CM last had breast milk?   ,Age when CM last had breast milk?   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Never took breast milk; 2.0 = Less than one day; 3.0 = Answer given in days; 4.0 = Answer given in weeks; 5.0 = Answer given in months,0.8253233719425325
"10. In an average 24-hour period, what is the LONGEST time between breast feedings or pumping milk?: Don't know","10. In an average 24-hour period, what is the LONGEST time between breast feedings or pumping milk?: Don't know: Don't know: No, Don't know: Yes",Age when CM last had breast milk?   ,Age when CM last had breast milk?   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Never took breast milk; 2.0 = Less than one day; 3.0 = Answer given in days; 4.0 = Answer given in weeks; 5.0 = Answer given in months,0.8461780090537353
"11. In the past 7 days, how many times was the child fed pumped breast milk to drink? [Include breast milk the child's mother expressed in any way as pumped milk.]","11. In the past 7 days, how many times was the child fed pumped breast milk to drink? [Include breast milk the child's mother expressed in any way as pumped milk.]: ",Age when CM last had breast milk?   ,Age when CM last had breast milk?   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Never took breast milk; 2.0 = Less than one day; 3.0 = Answer given in days; 4.0 = Answer given in weeks; 5.0 = Answer given in months,0.8492993760115028
